time_slot,channel_id,PU(transmitter)_x,PU(transmitter)_y,PU_active,SU_id,SU(transmitter)_x,SU(transmitter)_y,SU(receiver)_x,SU(receiver)_y,SU_request,transmit_power,channel_gain,SINR,interference_level,throughput,energy_consumption,QoS_violated
0,0,14.741278363398337,28.04674709362264,0,2,19.233172188928016,89.92548953489644,27.435667691232403,25.533917381802862,1,0.7749924661383493,0.01747751434978693,21.92102671566606,0.0,225.9299881978532,0.0034302328296030977,1
1,1,70.81699218355708,8.602615388687019,0,0,32.13944347391071,33.19071450897939,13.63479715873609,13.002424444596016,1,0.9688875721979097,0.09855402377434283,131.50277639903342,0.0,352.4939389650383,0.002748664480002146,0
2,2,43.546552507197845,19.164922563199426,1,2,17.16977406281809,79.46477174793507,32.79016986816625,96.9166178252155,1,0.5892608759085521,0.09776085760444093,40.638626173061,0.000843806666526711,268.99252819783777,0.002190621716022323,1
3,3,25.02463252629369,60.24445664274584,0,2,77.7148096191265,82.45858333944201,67.81095489132647,43.41693177067375,0,0.45414198951254814,0.02285494897419491,77.00468422702781,0.0,314.2744428073375,0.0014450490597032284,0
4,4,68.6938355666703,19.668640265145033,0,0,48.477270520044705,15.205841543272957,39.04967760701591,2.180723533614748,1,0.5972219152190364,0.08100471621519018,116.4279829741378,0.0,343.7816216008547,0.0017372130327991293,0
5,0,74.26607186564213,18.106401011909334,0,0,16.582983742933312,22.945529094714377,65.91287839176876,67.75371918601665,1,0.1017179686558518,0.0822622537467588,14.72465376673599,0.0,198.74781731815864,0.0005117941395111069,1
6,1,17.98963187348388,55.28304323866363,0,2,3.85312790752278,69.0495626995769,70.19556012028349,52.48786386179696,1,0.5393780474858908,0.04843159780947989,29.892982487714896,0.0,247.46036270269173,0.0021796543067152366,1
7,2,91.44446820562084,90.47025067069852,0,1,98.67095519729261,26.40308088357549,61.396430850858685,81.98100961239089,1,0.6847608274961919,0.08960344188426636,72.83356222792408,0.0,310.3102430200762,0.0022066974606609825,0
8,3,75.1147243951441,78.86928506398297,0,2,71.43673813170064,93.81529184151088,77.88501721003168,36.36571792147802,0,0.6227928549464008,0.08020110261053184,189.44968133756,0.0,378.6633031872626,0.0016447140455902412,0
9,4,93.33754991419687,90.50891105198504,1,2,67.99524615395865,23.071233809056835,23.31412186400137,91.04372833515058,1,0.44057126463664664,0.06754387401213272,25.778149671888208,0.00030460326828282176,237.14921855153364,0.0018577807908025119,1
10,0,31.7073218763691,58.29802022965151,1,2,50.280890225262155,79.9145489773914,10.969904328012081,2.7883424125832668,1,0.9627373223653682,0.055635674596539196,6.629968012303542,0.007553083648972041,146.58385043760507,0.006567826625671433,1
11,1,93.93350157429869,40.992956045860716,1,2,43.498614261164334,75.81003364561994,4.825602595361611,52.427408685456534,1,0.8156592748882112,0.063593327800729,11.34742438960636,0.003717352063918954,181.30691145889045,0.004498776488034641,1
12,2,36.85176578383809,72.96413655419434,1,0,79.59645594738124,50.37584366170902,97.60975768150021,48.8770815288219,1,0.8613569593321999,0.02762810240536381,5.824513827380789,0.0034186891038642956,138.53631366565608,0.006217553580886002,1
13,3,5.396976142739174,26.136402818265093,1,2,82.66076125523189,26.327573225275025,71.78207552515057,1.180301241144155,1,0.45373049734174875,0.09263548007238617,4.049113448781991,0.009939694665788864,116.80150468700273,0.0038846288382414092,1
14,4,76.29693887090234,7.805395800540371,1,1,6.110121078715435,3.385921961646454,23.843908717727313,6.332971908641083,0,0.21055019650264906,0.08332892319803221,6.075280481612624,0.0026495011953784784,141.13936705383966,0.001491789281799332,1
15,0,70.35081440883408,34.46147927311356,0,0,85.94203927769958,82.83834958194048,47.69318528031603,28.779119901566308,0,0.27778597297357543,0.06733877595799469,106.09076630390481,0.0,337.13451408051367,0.0008239618328821516,0
16,1,59.791099226333245,29.92366974870174,1,1,76.15503290778065,37.775605198564286,6.223788359800109,57.4760625104575,1,0.49417204876961074,0.06391301078435184,5.429907680776848,0.005321395793954258,134.23990118993515,0.0036812604948892914,1
17,2,48.9893744384174,67.55389278171423,0,1,48.62127593952522,34.01102428242603,66.4723469369177,20.653135658123713,1,0.3656080941590576,0.015740165533198586,20.151061147585196,0.0,220.1329069989941,0.001660851607705688,1
18,3,3.216527032263139,55.13626788118143,1,1,47.63244117007027,4.449373995716488,96.71074997627828,18.397209906988177,1,0.4686935543441324,0.07299208342100603,8.457103466904343,0.0036890053633133004,162.06991904179776,0.002891921920016105,1
19,4,62.45972515201543,13.826298405578552,0,1,83.47968593589555,15.132932614587213,70.58260964584436,13.583215831301032,1,0.31606478064467514,0.09980997303381538,33.181759444780305,0.0,254.7577376976597,0.0012406483989865099,1
20,0,41.683461522279366,90.85041797704697,0,0,79.35619495146611,36.79153955640968,62.257456285435275,92.79137368894939,1,0.9975019319106215,0.04495801905559565,80.59734727806301,0.0,317.52251729845204,0.003141515560080781,0
21,1,56.0209402740945,59.33389405048042,1,0,13.879684819471061,69.08295808880966,92.21975941235266,56.471056762926096,0,0.38872817181084873,0.07091574077754496,16.156116144107294,0.0014348123417637093,205.03255414082912,0.0018959338995889997,1
22,2,42.93213419676363,45.768422542377685,0,1,54.919543531223525,20.73285101142369,51.23915737561022,24.629887592191725,1,0.2984484080182007,0.019510648194310958,36.184420194984874,0.0,260.83131858583613,0.0011442199828306482,1
23,3,96.6056132765199,93.71949271186536,0,1,96.93574284902718,16.361078474865753,74.51298753523724,97.1215279167418,1,0.7931003314718159,0.021331240726297513,20.90407609905768,0.0,222.65637294050651,0.0035619924884060642,1
24,4,60.41089011508471,9.730184879790082,0,0,73.54618174065698,26.22963817354682,93.27915646096949,40.836241674153825,0,0.4790184798867936,0.07697705092255011,59.02820766147588,0.0,295.378434355749,0.0016217110748449578,0
25,0,74.92363306024671,78.95929381397178,1,0,97.29782870959018,28.343355869817245,64.68794715150688,11.216227908402043,1,0.2066715039030213,0.017147095314481914,0.46607193274861103,0.006979299596821885,27.597794548543607,0.007488696100363994,1
26,1,93.63469474710833,36.46655057200093,0,0,77.59974734496346,40.99827873322137,52.603604271395874,51.104651849735205,1,0.2208948410973755,0.020240268897758734,9.266066953474708,0.0,167.9905834790652,0.001314923939233649,1
27,2,59.15993229167397,69.53897509239717,1,2,52.466144094859224,36.093589016557445,58.044323439833114,43.502446934133786,0,0.5463806980782787,0.05249890248120324,40.41576773546978,0.000460189494671659,268.6054113708442,0.002034138825631444,1
28,3,1.2062517822400753,93.07254276476786,1,2,60.490266324953346,7.392368493077539,76.9449714586414,61.76013949408055,0,0.48217983500319284,0.011101239452218213,1.210043765695068,0.0037145585551255065,57.20374698594944,0.008429165080610231,1
29,4,3.429167831054236,51.771308048541734,0,2,70.94133825325818,61.791208426020305,5.18798669324384,69.90957587028588,1,0.4409523861603659,0.01171325709572044,7.2262605598360174,0.0,152.0118384352768,0.002900776596076344,1
30,0,70.23384341018618,2.2638823428747346,1,1,72.8826703863102,13.046293907611684,32.81202747351665,34.599825840382096,1,0.7432396913761329,0.0014351212823990938,0.14318698250673673,0.0072161525367893395,9.653069682116243,0.07699515686268574,1
31,1,27.90851361512835,2.884823017233795,1,2,74.75588014384951,86.8431078481768,5.146202768425024,17.118488184107616,1,0.9144798979726367,0.08922015511579949,25.31250594660028,0.002903967588600603,235.88383745570414,0.0038768230327249145,1
32,2,57.937972734794876,33.05608190853765,1,1,93.02593432904793,85.95138444139401,78.62233311872433,41.35620173817682,0,0.664489491232918,0.021068376575855273,1.504446710195609,0.009155540137168393,66.22459570747174,0.010033877505787023,1
33,3,20.227718109066895,78.16582193950619,0,1,30.916492326194444,7.238758051110327,91.48553727650612,50.48930362860927,1,0.6156578360968766,0.003435329982563596,3.3006464430054656,0.0,105.22767659564647,0.005850721503734374,1
34,4,27.024887506171414,28.826134307358274,1,2,82.94725435621321,41.3098981673267,39.950109967012224,46.6317234013055,0,0.5144722655742118,0.09230081856566168,16.319908680962335,0.0022949966527263167,205.71797091887572,0.0025008620334692607,1
35,0,50.46410559480753,33.44686008862177,1,1,56.96817025472487,47.68813788719848,25.207794589916034,3.3849511617368266,1,0.6726431370374201,0.012334690012571252,1.896507653966058,0.003655392812129221,76.71572386543998,0.008767995586527296,1
36,1,97.5569463356082,78.44607131975687,1,2,88.53296781338847,99.58680999223006,4.058382531285442,79.42565367887666,1,0.910250273968609,0.0817381123730758,12.04028244831846,0.005783050375360777,185.24516065523827,0.0049137600455265084,1
37,2,61.62704892091916,11.618917391928086,0,2,63.10937463677998,25.12591119035298,0.6835677827332964,34.31671690424394,1,0.322846699187466,0.05724664341031862,36.77529336122925,0.0,261.96855271128857,0.0012323872259235751,1
38,3,93.61481045130232,84.68129619628856,0,0,93.51487270955677,63.59502448789299,54.52870869606799,29.29237185021478,0,0.9409644413171294,0.041879670728039844,48.03908884328432,0.0,280.79301342919683,0.0033510963341803423,0
