Time_Step,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4
0,0,1,0,1,0
1,0,0,1,2,1
2,0,1,0,1,2
3,2,0,0,1,1
4,1,0,0,1,0
5,0,1,1,0,1
6,0,1,1,2,0
7,1,0,1,0,2
8,0,1,0,0,1
9,0,2,0,1,1
10,1,1,2,0,0
11,1,1,0,2,0
12,1,0,1,0,0
13,2,1,1,1,0
14,0,2,0,1,0
15,0,0,2,0,1
16,0,1,0,1,1
17,1,0,0,1,0
18,2,0,1,1,1
19,0,2,1,1,1
20,0,0,2,0,1
21,0,0,1,0,1
22,1,0,1,1,2
23,2,1,1,1,0
24,1,2,1,0,0
25,0,1,0,1,0
26,0,0,0,2,1
27,0,0,1,1,1
28,2,0,1,0,0
29,0,1,1,0,0
30,0,0,2,1,0
31,0,0,1,2,0
32,0,1,1,0,0
33,1,1,1,0,0
34,0,1,1,0,1
35,1,1,0,0,1
36,0,1,0,2,1
37,1,0,0,1,0
38,1,1,0,0,1
39,1,2,1,0,0
40,0,1,2,1,0
41,1,1,0,0,1
42,0,1,0,0,1
43,2,1,0,0,0
44,1,2,1,1,0
45,1,1,2,0,1
46,0,1,0,1,1
47,1,0,1,1,2
48,1,0,1,0,0
49,1,2,0,0,0
50,0,1,1,1,0
51,1,0,1,2,0
52,0,1,0,0,2
53,2,1,0,1,0
54,1,0,1,0,1
55,0,1,2,1,0
56,0,1,1,2,0
57,0,1,1,0,2
58,2,1,0,0,1
59,0,2,0,1,0
60,0,1,2,0,1
61,0,1,1,2,0
62,0,0,0,1,1
63,2,1,0,1,0
64,1,2,0,0,0
65,0,0,2,0,1
66,0,0,0,2,1
67,0,0,1,0,2
68,1,0,1,1,0
69,1,0,1,1,0
70,0,0,0,0,1
71,0,1,1,0,0
72,1,0,1,0,0
73,2,0,1,1,0
74,1,2,0,1,0
75,1,1,2,1,0
76,1,0,0,2,1
77,1,0,0,0,1
78,2,1,1,0,1
79,0,1,1,0,1
80,0,0,1,0,1
81,1,1,0,2,0
82,1,0,1,0,0
83,1,0,1,0,1
84,0,2,0,0,1
85,0,1,2,0,1
86,1,0,0,0,1
87,0,1,1,0,2
88,2,0,0,1,0
89,0,1,0,1,1
90,1,0,1,0,1
91,1,0,0,0,1
92,1,1,0,1,2
93,1,0,0,1,0
94,1,0,1,0,0
95,1,0,2,0,1
96,0,1,1,0,0
97,1,1,0,0,2
98,2,1,0,1,0
99,0,2,0,1,0
