Time_Step,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4
0,0,1,1,1,2
1,2,0,0,0,0
2,0,1,0,0,1
3,0,0,1,0,0
4,0,1,0,0,1
5,1,0,0,0,1
6,2,0,1,1,1
7,1,1,0,0,0
8,0,0,1,0,0
9,0,1,0,2,0
10,1,0,0,0,1
11,2,1,0,0,1
12,1,2,0,1,1
13,1,0,0,1,1
14,0,1,1,2,0
15,1,0,0,0,1
16,2,0,1,1,1
17,1,1,0,0,0
18,0,1,1,0,1
19,1,0,1,2,1
20,1,0,0,0,1
21,2,1,1,0,0
22,0,2,0,1,1
23,0,0,1,0,0
24,0,0,0,1,1
25,1,1,0,0,0
26,2,0,0,1,1
27,0,2,0,0,1
28,0,1,2,0,0
29,1,0,0,1,1
30,1,0,0,0,1
31,1,1,0,0,0
32,0,2,1,0,0
33,0,0,1,0,0
34,0,0,0,1,1
35,0,1,1,0,2
36,2,1,0,1,0
37,1,2,0,1,0
38,0,1,1,0,0
39,0,0,0,2,1
40,1,0,0,0,1
41,2,1,0,1,0
42,0,2,1,0,0
43,1,0,2,1,0
44,0,1,0,2,1
45,1,0,0,0,1
46,2,1,0,0,0
47,1,2,0,0,0
48,0,1,2,1,0
49,0,1,1,2,0
50,1,0,1,0,2
51,1,1,0,0,0
52,1,1,0,0,0
53,0,0,1,0,0
54,0,0,1,2,0
55,0,1,1,0,2
56,1,1,0,0,0
57,1,1,0,0,0
58,1,0,2,0,1
59,0,0,0,1,0
60,1,0,0,0,2
61,1,1,0,0,0
62,1,0,0,0,1
63,0,0,1,0,0
64,0,0,0,1,1
65,0,0,1,1,2
66,1,0,0,1,0
67,0,2,1,1,0
68,0,1,1,0,0
69,1,1,0,2,0
70,0,0,1,0,2
71,2,0,1,1,0
72,0,2,1,1,0
73,0,1,2,1,1
74,1,0,0,1,0
75,1,0,1,0,2
76,2,0,1,1,1
77,1,1,0,1,0
78,0,0,1,0,0
79,0,1,0,2,1
80,1,0,1,0,2
81,1,1,1,0,0
82,1,1,0,0,0
83,0,0,1,1,1
84,0,0,0,1,1
85,0,0,1,1,2
86,2,1,0,0,1
87,1,2,1,0,1
88,1,0,1,1,0
89,0,0,1,2,1
90,1,0,1,0,1
91,1,1,0,0,0
92,1,2,0,0,1
93,1,0,2,0,1
94,1,0,1,2,0
95,1,0,0,0,1
96,1,1,0,0,1
97,0,2,0,1,0
98,1,1,2,1,0
99,0,1,0,2,0
