Time_Step,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4
0,1,1,2,0,0
1,0,0,0,1,0
2,0,0,1,0,2
3,2,0,0,0,1
4,1,2,1,1,0
5,1,0,2,1,0
6,1,0,0,2,0
7,1,0,0,1,1
8,1,0,0,0,1
9,0,1,0,0,0
10,1,0,2,0,1
11,0,0,1,0,0
12,0,0,1,0,1
13,2,1,0,0,0
14,0,2,0,1,1
15,1,0,2,1,0
16,0,0,0,1,0
17,0,0,1,0,2
18,0,1,1,1,0
19,0,1,0,0,0
20,0,0,1,0,0
21,1,0,1,2,1
22,1,0,1,0,2
23,1,0,0,0,1
24,0,2,1,1,0
25,0,1,2,0,1
26,0,0,0,1,0
27,1,1,0,1,0
28,2,0,0,1,0
29,0,2,1,1,0
30,0,0,1,0,0
31,0,1,0,2,1
32,1,1,0,0,2
33,2,0,1,0,1
34,1,1,1,0,0
35,0,0,2,1,1
36,1,0,1,2,0
37,0,1,0,1,0
38,2,0,0,1,1
39,1,0,0,1,1
40,0,1,2,1,0
41,1,0,0,1,0
42,0,0,1,0,1
43,2,1,0,0,1
44,0,2,0,1,1
45,0,1,1,1,0
46,0,0,1,2,1
47,0,1,1,1,0
48,1,1,0,0,0
49,1,2,0,1,0
50,0,0,2,0,1
51,0,0,0,0,1
52,0,0,1,0,1
53,2,1,0,1,0
54,1,2,1,1,0
55,0,0,1,0,0
56,0,0,1,1,0
57,1,0,0,0,2
58,1,0,0,0,0
59,1,1,1,0,0
60,0,0,1,1,1
61,0,0,1,2,1
62,0,1,0,0,2
63,1,1,0,0,0
64,1,2,1,1,0
65,0,1,0,0,1
66,1,0,1,2,0
67,1,1,0,0,2
68,2,1,0,1,1
69,0,1,0,0,0
70,1,1,2,0,0
71,0,0,0,1,1
72,0,1,0,1,2
73,1,0,1,0,1
74,0,2,1,0,1
75,0,0,1,0,0
76,0,1,1,1,0
77,1,1,0,1,2
78,1,0,0,0,1
79,0,0,1,1,1
80,0,0,2,1,0
81,1,0,1,2,1
82,1,0,0,0,1
83,1,1,1,0,0
84,0,1,0,0,1
85,0,0,1,0,0
86,0,0,0,2,0
87,0,0,1,1,2
88,1,0,0,0,1
89,0,2,1,0,1
90,0,0,1,0,0
91,0,0,0,1,0
92,0,0,1,1,2
93,2,1,1,0,0
94,0,1,0,0,0
95,0,0,1,0,0
96,0,0,1,1,1
97,0,0,0,1,2
98,2,1,0,0,0
99,1,2,0,1,1
